Acrylamide Conc. %,Bis-acrylamide conc %,Photo-initiator conc. %,Layer Height. (micron),Bottom Layer exposure time (s),Exposure time (s),Frequency (Hz),Storage modulus (Pa),Loss modulus (Pa)
10,0.2,2,150,50,6,6.309572697,841.1264038,78.68423462
10,0.2,2,150,50,6,10,878.9335938,101.1561127
10,0.2,2,150,50,6,0.01,529.3479004,77.75352478
10,0.2,2,150,50,6,0.015848933,604.0164185,70.19263458
10,0.2,2,150,50,6,0.025118863,650.1625366,62.96640396
10,0.2,2,150,50,6,0.039810721,681.6020508,58.68709183
10,0.2,2,150,50,6,0.063095748,704.8925781,54.88187027
10,0.2,2,150,50,6,0.100000001,723.7294312,52.27966309
10,0.2,2,150,50,6,0.158489317,740.9963989,50.54318619
10,0.2,2,150,50,6,0.251188636,755.4343872,50.21185684
10,0.2,2,150,50,6,0.398107171,769.163269,50.84906006
10,0.2,2,150,50,6,0.630957365,782.9254761,52.4029274
10,0.2,2,150,50,6,1,796.7709961,55.53548813
10,0.2,2,150,50,6,1.584893227,809.6057129,60.55134201
10,0.2,2,150,50,6,2.511886358,818.6046753,68.08157349
10,0.2,2,150,50,6,3.981071472,795.5414429,86.16769409
10,0.2,2,150,50,6,6.309572697,834.4902344,78.50373077
10,0.2,2,150,50,6,10,834.4121094,91.78366852
10,0.2,2,150,50,6,0.01,554.2723389,81.860466
10,0.2,2,150,50,6,0.015848933,623.0428467,71.16964722
10,0.2,2,150,50,6,0.025118863,671.1330566,65.42974091
10,0.2,2,150,50,6,0.039810721,703.9107666,61.02409363
10,0.2,2,150,50,6,0.063095748,727.8668213,57.44719315
10,0.2,2,150,50,6,0.100000001,747.755249,55.07040787
10,0.2,2,150,50,6,0.158489317,765.0080566,53.71088409
10,0.2,2,150,50,6,0.251188636,781.0812988,53.42783737
10,0.2,2,150,50,6,0.398107171,795.7573242,54.3043251
10,0.2,2,150,50,6,0.630957365,812.0750122,56.79177856
10,0.2,2,150,50,6,1,825.6589966,59.95024109
10,0.2,2,150,50,6,1.584893227,840.0722656,65.36448669
10,0.2,2,150,50,6,2.511886358,850.8057251,73.2338028
10,0.2,2,150,50,6,3.981071472,838.4347534,89.45168304
10,0.2,2,150,50,6,6.309572697,869.5038452,83.39693451
10,0.2,2,150,50,6,10,890.8569336,126.7875977
10,0.3,1.5,30,50,6,0.01,794.8421021,119.8668976
10,0.3,1.5,30,50,6,0.015848933,875.5668335,104.8251877
10,0.3,1.5,30,50,6,0.025118863,921.9036255,100.3833008
10,0.3,1.5,30,50,6,0.039810721,955.2020874,92.36123657
10,0.3,1.5,30,50,6,0.063095748,982.9713135,89.61766815
